PSTAR: Stopping Powers and Range Tables for Protons

BONE, COMPACT (ICRU)                                                    

Kinetic   Total     
Energy    Stp. Pow. 
MeV       MeV cm2/g 

1.000E-03 1.738E+02 
1.500E-03 1.997E+02 
2.000E-03 2.227E+02 
2.500E-03 2.436E+02 
3.000E-03 2.629E+02 
4.000E-03 2.962E+02 
5.000E-03 3.262E+02 
6.000E-03 3.537E+02 
7.000E-03 3.791E+02 
8.000E-03 4.025E+02 
9.000E-03 4.243E+02 
1.000E-02 4.449E+02 
1.250E-02 4.859E+02 
1.500E-02 5.212E+02 
1.750E-02 5.523E+02 
2.000E-02 5.802E+02 
2.250E-02 6.051E+02 
2.500E-02 6.275E+02 
2.750E-02 6.476E+02 
3.000E-02 6.657E+02 
3.500E-02 6.974E+02 
4.000E-02 7.239E+02 
4.500E-02 7.457E+02 
5.000E-02 7.633E+02 
5.500E-02 7.770E+02 
6.000E-02 7.872E+02 
6.500E-02 7.946E+02 
7.000E-02 7.994E+02 
7.500E-02 8.020E+02 
8.000E-02 8.027E+02 
8.500E-02 8.018E+02 
9.000E-02 7.994E+02 
9.500E-02 7.958E+02 
1.000E-01 7.912E+02 
1.250E-01 7.575E+02 
1.500E-01 7.154E+02 
1.750E-01 6.722E+02 
2.000E-01 6.312E+02 
2.250E-01 5.939E+02 
2.500E-01 5.604E+02 
2.750E-01 5.306E+02 
3.000E-01 5.041E+02 
3.500E-01 4.595E+02 
4.000E-01 4.234E+02 
4.500E-01 3.937E+02 
5.000E-01 3.687E+02 
5.500E-01 3.472E+02 
6.000E-01 3.284E+02 
6.500E-01 3.119E+02 
7.000E-01 2.972E+02 
7.500E-01 2.840E+02 
8.000E-01 2.720E+02 
8.500E-01 2.612E+02 
9.000E-01 2.513E+02 
9.500E-01 2.422E+02 
1.000E+00 2.339E+02 
1.250E+00 2.005E+02 
1.500E+00 1.764E+02 
1.750E+00 1.581E+02 
2.000E+00 1.436E+02 
2.250E+00 1.318E+02 
2.500E+00 1.220E+02 
2.750E+00 1.137E+02 
3.000E+00 1.065E+02 
3.500E+00 9.490E+01 
4.000E+00 8.576E+01 
4.500E+00 7.838E+01 
5.000E+00 7.228E+01 
5.500E+00 6.715E+01 
6.000E+00 6.276E+01 
6.500E+00 5.896E+01 
7.000E+00 5.563E+01 
7.500E+00 5.269E+01 
8.000E+00 5.008E+01 
8.500E+00 4.774E+01 
9.000E+00 4.562E+01 
9.500E+00 4.371E+01 
1.000E+01 4.196E+01 
1.250E+01 3.511E+01 
1.500E+01 3.033E+01 
1.750E+01 2.679E+01 
2.000E+01 2.406E+01 
2.500E+01 2.010E+01 
2.750E+01 1.861E+01 
3.000E+01 1.736E+01 
3.500E+01 1.534E+01 
4.000E+01 1.378E+01 
4.500E+01 1.255E+01 
5.000E+01 1.155E+01 
5.500E+01 1.071E+01 
6.000E+01 1.001E+01 
6.500E+01 9.401E+00 
7.000E+01 8.878E+00 
7.500E+01 8.420E+00 
8.000E+01 8.015E+00 
8.500E+01 7.655E+00 
9.000E+01 7.332E+00 
9.500E+01 7.042E+00 
1.000E+02 6.778E+00 
1.250E+02 5.762E+00 
1.500E+02 5.070E+00 
1.750E+02 4.567E+00 
2.000E+02 4.186E+00 
2.250E+02 3.887E+00 
2.500E+02 3.646E+00 
2.750E+02 3.449E+00 
3.000E+02 3.284E+00 
3.500E+02 3.024E+00 
4.000E+02 2.830E+00 
4.500E+02 2.681E+00 
5.000E+02 2.562E+00 
5.500E+02 2.466E+00 
6.000E+02 2.386E+00 
6.500E+02 2.318E+00 
7.000E+02 2.261E+00 
7.500E+02 2.213E+00 
8.000E+02 2.171E+00 
8.500E+02 2.135E+00 
9.000E+02 2.103E+00 
9.500E+02 2.076E+00 
1.000E+03 2.052E+00 
1.500E+03 1.916E+00 
2.000E+03 1.869E+00 
2.500E+03 1.854E+00 
3.000E+03 1.852E+00 
4.000E+03 1.865E+00 
5.000E+03 1.885E+00 
6.000E+03 1.907E+00 
7.000E+03 1.927E+00 
8.000E+03 1.947E+00 
9.000E+03 1.965E+00 
1.000E+04 1.982E+00 
