PSTAR: Stopping Powers and Range Tables for Protons

BONE, CORTICAL (ICRP)                                                   

Kinetic   Total     
Energy    Stp. Pow. 
MeV       MeV cm2/g 

1.000E-03 1.506E+02 
1.500E-03 1.736E+02 
2.000E-03 1.939E+02 
2.500E-03 2.124E+02 
3.000E-03 2.293E+02 
4.000E-03 2.591E+02 
5.000E-03 2.858E+02 
6.000E-03 3.103E+02 
7.000E-03 3.329E+02 
8.000E-03 3.539E+02 
9.000E-03 3.736E+02 
1.000E-02 3.922E+02 
1.250E-02 4.291E+02 
1.500E-02 4.611E+02 
1.750E-02 4.895E+02 
2.000E-02 5.149E+02 
2.250E-02 5.378E+02 
2.500E-02 5.584E+02 
2.750E-02 5.771E+02 
3.000E-02 5.941E+02 
3.500E-02 6.237E+02 
4.000E-02 6.484E+02 
4.500E-02 6.689E+02 
5.000E-02 6.855E+02 
5.500E-02 6.986E+02 
6.000E-02 7.087E+02 
6.500E-02 7.162E+02 
7.000E-02 7.214E+02 
7.500E-02 7.246E+02 
8.000E-02 7.260E+02 
8.500E-02 7.259E+02 
9.000E-02 7.244E+02 
9.500E-02 7.219E+02 
1.000E-01 7.184E+02 
1.250E-01 6.906E+02 
1.500E-01 6.544E+02 
1.750E-01 6.166E+02 
2.000E-01 5.805E+02 
2.250E-01 5.472E+02 
2.500E-01 5.173E+02 
2.750E-01 4.906E+02 
3.000E-01 4.667E+02 
3.500E-01 4.265E+02 
4.000E-01 3.940E+02 
4.500E-01 3.669E+02 
5.000E-01 3.440E+02 
5.500E-01 3.243E+02 
6.000E-01 3.070E+02 
6.500E-01 2.918E+02 
7.000E-01 2.782E+02 
7.500E-01 2.660E+02 
8.000E-01 2.549E+02 
8.500E-01 2.449E+02 
9.000E-01 2.357E+02 
9.500E-01 2.273E+02 
1.000E+00 2.196E+02 
1.250E+00 1.885E+02 
1.500E+00 1.662E+02 
1.750E+00 1.491E+02 
2.000E+00 1.355E+02 
2.250E+00 1.245E+02 
2.500E+00 1.154E+02 
2.750E+00 1.076E+02 
3.000E+00 1.009E+02 
3.500E+00 9.000E+01 
4.000E+00 8.142E+01 
4.500E+00 7.448E+01 
5.000E+00 6.874E+01 
5.500E+00 6.390E+01 
6.000E+00 5.976E+01 
6.500E+00 5.617E+01 
7.000E+00 5.302E+01 
7.500E+00 5.025E+01 
8.000E+00 4.777E+01 
8.500E+00 4.556E+01 
9.000E+00 4.356E+01 
9.500E+00 4.174E+01 
1.000E+01 4.008E+01 
1.250E+01 3.359E+01 
1.500E+01 2.904E+01 
1.750E+01 2.568E+01 
2.000E+01 2.307E+01 
2.500E+01 1.929E+01 
2.750E+01 1.788E+01 
3.000E+01 1.667E+01 
3.500E+01 1.474E+01 
4.000E+01 1.326E+01 
4.500E+01 1.207E+01 
5.000E+01 1.111E+01 
5.500E+01 1.031E+01 
6.000E+01 9.635E+00 
6.500E+01 9.055E+00 
7.000E+01 8.553E+00 
7.500E+01 8.113E+00 
8.000E+01 7.724E+00 
8.500E+01 7.378E+00 
9.000E+01 7.069E+00 
9.500E+01 6.789E+00 
1.000E+02 6.536E+00 
1.250E+02 5.560E+00 
1.500E+02 4.893E+00 
1.750E+02 4.410E+00 
2.000E+02 4.043E+00 
2.250E+02 3.755E+00 
2.500E+02 3.523E+00 
2.750E+02 3.333E+00 
3.000E+02 3.174E+00 
3.500E+02 2.924E+00 
4.000E+02 2.737E+00 
4.500E+02 2.593E+00 
5.000E+02 2.479E+00 
5.500E+02 2.386E+00 
6.000E+02 2.311E+00 
6.500E+02 2.246E+00 
7.000E+02 2.192E+00 
7.500E+02 2.146E+00 
8.000E+02 2.106E+00 
8.500E+02 2.071E+00 
9.000E+02 2.041E+00 
9.500E+02 2.015E+00 
1.000E+03 1.992E+00 
1.500E+03 1.864E+00 
2.000E+03 1.821E+00 
2.500E+03 1.807E+00 
3.000E+03 1.807E+00 
4.000E+03 1.822E+00 
5.000E+03 1.843E+00 
6.000E+03 1.864E+00 
7.000E+03 1.886E+00 
8.000E+03 1.905E+00 
9.000E+03 1.924E+00 
1.000E+04 1.941E+00 
